"Date","Invocation","Log"
"08/08/2025 20:21:14","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Serpentine - Jonathan Kellerman.epub'"
"08/08/2025 20:21:14","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\Images\4.40 MB.jpg' dans 'C:\Users\sense\Downloads\Un soupçon dhumanité (Loïc Henry) (Z-Library).epub'"
"20/08/2025 23:31:00","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"20/08/2025 23:31:01","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\misc\La Ferme - Tom Abrahams.epub' dans 'C:\Users\sense\Downloads\aux-semblant-bookys.epub'"
"20/08/2025 23:31:01","Batch-Delete-BigFileinEpub","<Action> Suppression de '5 MB.jpg' dans 'C:\Users\sense\Downloads\L'impossible retour -- Amélie Nothomb -- 1, 2024 -- Albin Michel -- 9782226495945 .epub'"
"20/08/2025 23:31:01","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\Misc\l-enseveli-bookys.epub' dans 'C:\Users\sense\Downloads\le-vagabond-de-seoul_bookys.epub'"
"20/08/2025 23:31:01","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\4.80 MB.jpg' dans 'C:\Users\sense\Downloads\Tant.Mieux.Amelie.Nothomb.2025.FRENCH.Epub-NoTag.epub'"
"19/09/2025 17:50:45","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"19/09/2025 17:50:46","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\image\4.80 MB.jpg' dans 'C:\Users\sense\Downloads\Dune decrypte - Michael Pardon.epub'"
"19/09/2025 17:50:46","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\EDUQUER - Isabelle Filliozat, Fabrice Midal.epub'"
"19/09/2025 17:50:46","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\EPUB 5MB.jpg' dans 'C:\Users\sense\Downloads\L'odeur de la sardine - Serge Raffy.epub'"
"19/09/2025 17:50:46","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\EPUB 5MB.jpg' dans 'C:\Users\sense\Downloads\La Honte (Arttu Tuominen).epub'"
"19/09/2025 17:50:46","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\EPUB 5MB.jpg' dans 'C:\Users\sense\Downloads\La seconde morte (Michel Bussi).epub'"
"19/09/2025 17:50:46","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Les cinq langages sexuels - Margot Fried Filliozat.epub'"
"19/09/2025 17:50:46","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\magie de l'ordinaire, La - Fabrice Midal.epub'"
"19/09/2025 17:50:46","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Mécanismes du désir - Comprendre la passion, la jalousie et la rivalité, Les - Jean-Michel Oughourlian.epub'"
"19/09/2025 17:50:46","Batch-Delete-BigFileinEpub","<Action> Suppression de 'EPUB 5MB.jpg' dans 'C:\Users\sense\Downloads\Transylvania (Nicolas Beuglet).epub'"
"19/09/2025 17:51:16","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"19/09/2025 17:51:16","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\EPUB 5MB.jpg' dans 'C:\Users\sense\Downloads\La Honte (Arttu Tuominen).epub'"
"25/09/2025 13:18:19","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"25/09/2025 13:18:20","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\4.40 MB.jpg' dans 'C:\Users\sense\Downloads\Les.Preuves.De.Mon.Innocence.2025.Jonathan.Coe.epub'"
"25/09/2025 13:18:20","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\EPUB 5MB.jpg' dans 'C:\Users\sense\Downloads\Livre de la Misericorde - Leonard Cohen.epub'"
"25/09/2025 13:18:20","Batch-Delete-BigFileinEpub","<Action> Suppression de 'EPUB 5MB.jpg' dans 'C:\Users\sense\Downloads\Mort entre autres, La - Kerr Philip.epub'"
"25/09/2025 13:18:20","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\EPUB 5MB.jpg' dans 'C:\Users\sense\Downloads\Zoo (James Patterson).epub'"
"02/10/2025 22:03:41","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\4.20 MB.jpg' dans 'C:\Users\sense\Downloads\Doppelganger.2025.Gerard.Guix.epub'"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\La fille dans les griffes du lynx (Karin Smirnoff).epub'"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\image\4.60 MB.jpg' dans 'C:\Users\sense\Downloads\La maison aux neuf serrures - Philip Gray.epub'"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de 'misc\un-thriller-lucy-crimson-t3-dans-la-peau_bookys.epub' dans 'C:\Users\sense\Downloads\la-voix-de-l-arbre-bookys.epub'"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de 'EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Le Serment (T1) (Arttu Tuominen, Anne Colin du Terrail (tr.).epub'"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de 'images\4.60 MB.jpg' dans 'C:\Users\sense\Downloads\Le.Cercle.Des.Jours.2025.Ken.Follett.epub'"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Les fossoyeurs - Victor Castanet.epub'"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\Images\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\PD-3-CB.epub'"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de '4.40 MB.jpg' dans 'C:\Users\sense\Downloads\Rappelle-toi - Harlan Coben.epub'"
"02/10/2025 22:03:42","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\image\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Vivre (Boualem Sansal).epub'"
"05/10/2025 19:55:10","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"05/10/2025 19:55:10","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\Images\4.60 MB.jpg' dans 'C:\Users\sense\Downloads\Legitime.Violence.Marc.Dugain.2025.FRENCH.Epub-NoTag.epub'"
"05/10/2025 19:55:11","Batch-Delete-BigFileinEpub","<Action> Suppression de 'misc\la-femme-qu-il-reste_bookys.epub' dans 'C:\Users\sense\Downloads\nicolas-le-floch-t19-le-crime-de-le-floch_books.epub'"
"05/10/2025 19:55:11","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\2.6 MB.jpg' dans 'C:\Users\sense\Downloads\Strange.Houses.Uketsu.2025.FRENCH.Epub-NoTag.epub'"
"05/10/2025 19:55:11","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Uketsu - Strange Pictures.epub'"
"08/10/2025 16:04:18","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"08/10/2025 16:04:19","Batch-Delete-BigFileinEpub","<Action> Suppression de 'Images\4.80 MB.jpg' dans 'C:\Users\sense\Downloads\Clamser.A.Tataouine.2025.Raphael.Quenard.epub'"
"08/10/2025 16:04:19","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\Media\Images\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Dernier train pour Kamakura (Takeshi Murase).epub'"
"08/10/2025 16:04:19","Batch-Delete-BigFileinEpub","<Action> Suppression de '4.70 MB.jpg' dans 'C:\Users\sense\Downloads\Edward Holmes & Gower Watson T9 _ Le rat géant de l'hotel de Saint-Pol - Jean d'Aillon.epub'"
"08/10/2025 16:04:19","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\Misc\terrain-glissant-bookys.epub' dans 'C:\Users\sense\Downloads\l-ange-rebelle_bookys.epub'"
"08/10/2025 16:04:19","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\La Conspiration (Thomas Snégaroff).epub'"
"08/10/2025 16:04:19","Batch-Delete-BigFileinEpub","<Action> Suppression de 'misc\VLG-11-LD (1).epub' dans 'C:\Users\sense\Downloads\la-station-bookys.epub'"
"08/10/2025 16:04:19","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\4.80 MB.jpg' dans 'C:\Users\sense\Downloads\Le Bal des folles.epub'"
"08/10/2025 16:04:19","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\Images\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Les Spécialités de la boulangerie de minuit (Noriko Onuma).epub'"
"08/10/2025 16:04:19","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\4.70 MB.jpg' dans 'C:\Users\sense\Downloads\Maison des silences, La - Donato Carrisi.epub'"
"09/10/2025 15:14:49","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"09/10/2025 15:14:49","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\4.50 MB.jpg' dans 'C:\Users\sense\Downloads\Dans le collimateur.Sébastien Gendron.epub'"
"12/10/2025 16:15:53","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"12/10/2025 16:15:54","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\Images\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Jai perdu un bédouin dans Paris (Arthur Essebag).epub'"
"12/10/2025 16:15:54","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\image\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Une très bonne hérétique (Becky Chambers Becky Chambers).epub'"
"12/10/2025 16:17:02","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"12/10/2025 16:17:36","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"12/10/2025 16:17:36","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\4.20 MB.jpg' dans 'C:\Users\sense\Downloads\Jack Reacher T17 _ Au bout de la route - Lee Child.epub'"
"16/10/2025 19:35:26","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\image\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\11H02 le vent se lève Premier roman français , roman dapprentissage dans un monde post-apocalyptique, réflexion sur… (Sacha Bertrand).epub'"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\Images\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Christies, les nazis et moi (Mathieu Lindon).epub'"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\En mémoire de mes souvenirs (Stéphane de Groodt).epub'"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Inspecteurs Naia Thulin Mark Hess - 02 - Cache-cache (Sveistrup Søren).epub'"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Kong Junior (Jean-Christophe Cavallin).epub'"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\La fille sauvage (Jim Fergus).epub'"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\cover\4.40 MB.jpg' dans 'C:\Users\sense\Downloads\La mélancolie de la résistance - László Krasznahorkai.epub'"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\4.10 MB.jpg' dans 'C:\Users\sense\Downloads\Le Sorceleur - T9 - La Croisée des corbeaux - Andrzej Sapkowski.epub'"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\images\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\Peaux vives (Alice Renard).epub'"
"16/10/2025 19:35:27","Batch-Delete-BigFileinEpub","<Action> Suppression de '5 MB.jpg' dans 'C:\Users\sense\Downloads\Petits travaux pour un palais - László Krasznahorkai.epub'"
"19/10/2025 17:46:07","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"19/10/2025 17:46:07","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Hallucination - Alein Kentigerna.epub'"
"19/10/2025 17:46:07","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Je suis né du diable - Grangé, Jean-Christophe.epub'"
"19/10/2025 17:46:07","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\L'héritage du Vatican - Berry, Steve.epub'"
"19/10/2025 17:46:07","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\La Confrontation (Clara Dupont-Monod).epub'"
"19/10/2025 17:46:07","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Tout-doit-disparaitre-Alice-Pol.epub'"
"09/11/2025 19:24:24","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"09/11/2025 19:24:25","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Ce livre vous fera gagner du temps - Fabien Olicard.epub'"
"09/11/2025 19:24:25","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Ihimaera Witi - Le pacte des baleines.epub'"
"09/11/2025 19:24:25","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\image\EPUB 5+MB.jpg' dans 'C:\Users\sense\Downloads\La fin de l'homme - Antonio Mercero.epub'"
"09/11/2025 19:24:25","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\Images\4.60 MB.jpg' dans 'C:\Users\sense\Downloads\Le cigare au bord des lèvres - Akim Gagnon.epub'"
"09/11/2025 19:24:25","Batch-Delete-BigFileinEpub","<Action> Suppression de '4 MB.jpg' dans 'C:\Users\sense\Downloads\Le code rouge - Tom Clancy.epub'"
"09/11/2025 19:24:25","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\4.60 MB.jpg' dans 'C:\Users\sense\Downloads\Searoad.2025.Ursula.K.Le.Guin.EPUb'"
"09/11/2025 19:24:25","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\4.70 MB.jpg' dans 'C:\Users\sense\Downloads\Une enquête du commandant Gaspard Cloux T1 _ Morts thématiques - Eric Fouassier.epub'"
"12/11/2025 20:10:21","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"12/11/2025 20:10:22","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\misc\DEEPSEEK_ Guide Complet pour Comprendre et Exploiter cette IA Révolutionnaire (French Edition)_nodrm.epub' dans 'C:\Users\sense\Downloads\l-ange-dechu-bookys.epub'"
"12/11/2025 20:10:22","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OEBPS\misc\le-livre-de-la-nuit-t2-la-voleuse-de-la-nuit-t2-le-livre-de-la-nuit-par-black-ho_bookys.epub' dans 'C:\Users\sense\Downloads\la-jeune-fille-et-la-mer-bookys.epub'"
"12/11/2025 20:10:22","Batch-Delete-BigFileinEpub","<Action> Suppression de 'Misc\twisted-tale-t2-anthologie-histoires-inedites-bookys.epub' dans 'C:\Users\sense\Downloads\les-bons-voisins_bookys.epub'"
"12/11/2025 20:10:22","Batch-Delete-BigFileinEpub","<Action> Suppression de 'Misc\le-livre-de-la-nuit-t2-la-voleuse-de-la-nuit-t2-le-livre-de-la-nuit-par-black-ho_bookys.epub' dans 'C:\Users\sense\Downloads\ultra_bookys.epub'"
"12/11/2025 20:10:22","Batch-Delete-BigFileinEpub","<Action> Suppression de 'misc\le-livre-de-la-nuit-t2-la-voleuse-de-la-nuit-t2-le-livre-de-la-nuit-par-black-ho_bookys.epub' dans 'C:\Users\sense\Downloads\un-homme-dangereux-bookys.epub'"
"18/11/2025 22:45:49","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"18/11/2025 22:45:50","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\cover\4.70 MB.jpg' dans 'C:\Users\sense\Downloads\8.2.Secondes.2025.Maxime.Chattam.epub'"
"18/11/2025 22:45:50","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Carreyre Enzo - Les disparus de la D84.epub'"
"18/11/2025 22:45:50","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Cibles anonymes - Agnès Ruiz.epub'"
"18/11/2025 22:45:50","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Des hommes de guerre - Harris, Robert.epub'"
"18/11/2025 22:45:50","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Joyeux Noël Alex Cross.epub'"
"22/11/2025 11:38:56","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Bocquet Olivier - Omnivore.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Buten Howard - Cétait mieux avant.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Claude Arnaud - Proust contre Cocteau.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Handke Peter - Tête-à-tête.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Koudero Mickaël - La faim et la soif.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'OPS\4.60 MB.jpg' dans 'C:\Users\sense\Downloads\L'homme aux lèvres de saphir - Hervé Le Corre.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\La déesse aux trois visages - Riordan, Rick.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Laffaire Bélias.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Le Presage - Farris Peter.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Le rocher des proscrits - Salim Bachi.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Meurtres à Toulouse - Anne Waddington.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Penser contre soi-meme - Devers Nathan.epub'"
"22/11/2025 11:38:57","Batch-Delete-BigFileinEpub","<Action> Suppression de 'content' dans 'C:\Users\sense\Downloads\Roche Marc - Ma vie chez les Windsor. Les derniers secrets de Buckingham.epub'"
"27/11/2025 17:53:59","Batch-Delete-BigFileinEpub","<Appel> BatchFindBigFileinEpub"
